parent_key,key,label,priority,notes
tops,bras,Bras,P0,"Needed for bra/bralette crops currently collapsing into generic tops."
tops,bralettes,Bralettes,P0,"Needed for lingerie-like top extraction and accurate prompt locking."
tops,bustiers,Bustiers,P1,"Needed for structured fashion tops that should not map to generic blouse/top."
tops,corsets,Corsets,P1,"Needed for fitted structured tops and try-on detail preservation."
tops,tunics,Tunics,P1,"Needed for long tops that should not collapse into dresses."
tops,kurtas,Kurtas,P0,"Needed for Indian upper garments and kurta-based outfits."
tops,kurtis,Kurtis,P0,"Needed for Indian tops/short dresses that are currently misrouted."
bottoms,palazzos,Palazzos,P1,"Needed for wide-leg traditional/formal bottoms."
bottoms,salwars,Salwars,P0,"Needed for Indian bottom garments."
bottoms,dhoti_pants,Dhoti Pants,P2,"Needed for draped/traditional bottoms."
skirts,lehenga_skirts,Lehenga Skirts,P0,"Needed to separate lehenga-style skirts from generic maxi skirts."
dresses,gowns,Gowns,P1,"Needed for formal full-length one-piece garments."
dresses,slip_dresses,Slip Dresses,P2,"Needed for lingerie-like dresses that should not map to generic day dresses."
dresses,bodycon_dresses,Bodycon Dresses,P2,"Needed for close-fit dress prompting and extraction."
dresses,rompers,Rompers,P2,"Needed for short one-piece outfits; jumpsuits already exist."
dresses,kaftans,Kaftans,P1,"Needed for global loose draped garments."
dresses,anarkalis,Anarkalis,P0,"Needed for Indian dress silhouettes."
dresses,sarees,Sarees,P0,"Needed to stop sarees collapsing into tops, blouses, or generic dresses."
dresses,lehenga_sets,Lehenga Sets,P0,"Needed for multi-piece Indian outfits that should not collapse into a top or dress."
dresses,salwar_kameez_sets,Salwar Kameez Sets,P0,"Needed for Indian coordinated set handling."
dresses,abayas,Abayas,P1,"Needed for full-length draped modest wear."
dresses,qipaos,Qipaos,P2,"Needed for East Asian fitted dress silhouettes."
outerwear,boleros,Boleros,P2,"Needed for short structured layering pieces."
outerwear,shrugs,Shrugs,P1,"Needed for light layering pieces often misclassified as tops."
outerwear,capes,Capes,P1,"Needed for draped outerwear silhouettes."
outerwear,ponchos,P1,"Needed for global outerwear silhouettes."
outerwear,shawls,Shawls,P2,"Needed for draped layering accessories that act like outerwear."
outerwear,dupattas,Dupattas,P0,"Needed for Indian draped layering piece support."
outerwear,kimonos,Kimonos,P1,"Needed for robe-like draped outerwear."
